 10 01 57 06 06 15 10 00 30 30 39 30 30 39 02 02 01 00 00 00 50 13 00 00 00 05 01 01 07 04 01 00 00 90 05 02 56 00 00 09 02 00 04 00 00 00 14 00 00 00 06 00 90 06 40 00 08
 08 00 01 01 01 00 15 00 30 30 39 30 30 39 01 03 01 00 00 00 50 13 00 00 00 05 01 01 00 03 01 00 00 90 05 02 56 00 00 09 02 00 05 00 00 00 14 00 00 00 06 00 90 06 40 00 08
 
# 2010 157 15:10:01 0.9800 *1*66**1*** ***22100 0**000 5117410 0*52* 009 204 000* 000 60* 6*08
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2010 157 15:10:01    0.9800    90.000   -90.000    54.000     3.906   300.000     0.000    12.000     2.813
2010 157 15:10:01    0.9800    95.000   -90.000    54.000    -2.344    60.000     0.000    45.000    18.281
2010 157 15:10:01    0.9800   100.000   -90.000    54.000     0.781   180.000     0.000    51.000    21.094
2010 157 15:10:01    0.9800   105.000   -90.000    54.000    -3.906     0.000     0.000    93.000    40.781
2010 157 15:10:01    0.9800   110.000   -90.000    54.000    -2.344    60.000     0.000    54.000    22.500
2010 157 15:10:01    0.9800   115.000   -90.000    54.000     3.906   300.000     0.000    30.000    11.250



# 2008 001 00:15:00 1.0000 08 001 0101 001500 303039303039 13 010000 0050 130000 0005 01 103 100 0090 5 256 0000  9205000 1400 0000  6 0090 0640 0008
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2008 001 00:15:00    1.0000    90.000   -90.000    60.000    -4.688     0.000     0.000    63.000     0.000
2008 001 00:15:00    1.0000    95.000   -90.000    60.000     4.688     0.000     0.000    66.000     0.000
2008 001 00:15:00    1.0000   100.000   -90.000    60.000     7.812     0.000     0.000    63.000     0.000
2008 001 00:15:00    1.0000   105.000   -90.000    60.000    10.938     0.000     0.000    60.000     0.000
2008 001 00:15:00    1.0000   110.000   -90.000    60.000     4.688     0.000     0.000    60.000     0.000
2008 001 00:15:00    1.0000   115.000   -90.000    60.000     4.688     0.000     0.000    63.000     0.000
