# 2003 081 13:15:05 1.0025 03081131505 11320000 010000 60C3104 01121 120 908 4151 324 002 1229
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2003 081 13:15:05    1.0025    60.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025    65.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025    70.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025    75.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025    80.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025    85.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025    90.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025    95.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   100.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   105.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   110.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   115.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   120.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   125.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   130.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   135.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   140.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   145.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   150.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   155.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   160.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   165.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   170.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   175.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   180.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   185.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   190.000   -90.000    12.000     4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   195.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   200.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   205.000   -90.000    12.000    -4.688     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   210.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   215.000   -90.000    12.000    -4.688     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   220.000   -90.000    12.000     6.250     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.0025   225.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   230.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   235.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   240.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.0025   245.000   -90.000    12.000     6.250     0.000     0.000    78.000     0.000
